acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.4772271386430679,"[[1969 2812  869]
 [ 640 3561 1449]
 [  59 3032 2559]]",pan13,0.4775583128069987,0.0,"{'strides': [1], 'embedding_dim': 100, 'n_classes': 3, 'max_seq_length': 200, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'features_maps': [10, 10], 'kernel_size': [7, 8], 'epochs': 100, 'dropout_rate': 0.2, 'max_num_words': 1000, 'batch_size': 2}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9897314451466442,0.944553353657222
0.5555555555555556,"[[3770  611 1268]
 [1265  726 3658]
 [  89  641 4919]]",pan13,0.5084098847516522,1.0,"{'strides': [1], 'embedding_dim': 100, 'n_classes': 3, 'max_seq_length': 418, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'features_maps': [10, 10], 'kernel_size': [7, 8], 'epochs': 100, 'dropout_rate': 0.2, 'max_num_words': 1000, 'batch_size': 2}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9284547625136759,0.8534459446143122
0.5154001664882863,"[[4433  810  363]
 [2619 1973 1014]
 [2487  857 2262]]",pan13,0.5005108217578192,2.0,"{'strides': [1], 'embedding_dim': 100, 'n_classes': 3, 'max_seq_length': 200, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'features_maps': [10, 10], 'kernel_size': [7, 8], 'epochs': 100, 'dropout_rate': 0.2, 'max_num_words': 10000, 'batch_size': 2}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0335526577126717,1.043270550089884
0.3568383658969805,"[[ 469 2217 2944]
 [ 121 3656 1853]
 [   0 3728 1902]]",pan13,0.3131394104777759,3.0,"{'strides': [1], 'embedding_dim': 100, 'n_classes': 3, 'max_seq_length': 411, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'features_maps': [10, 10], 'kernel_size': [7, 8], 'epochs': 100, 'dropout_rate': 0.2, 'max_num_words': 10000, 'batch_size': 2}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0239318478215114,0.9472167256470908
0.4362511052166225,"[[1580  486 3589]
 [ 502  230 4923]
 [  41   23 5591]]",pan13,0.3480548409798732,4.0,"{'strides': [1], 'embedding_dim': 100, 'n_classes': 3, 'max_seq_length': 200, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'features_maps': [10, 10], 'kernel_size': [7, 8], 'epochs': 100, 'dropout_rate': 0.2, 'max_num_words': 101545, 'batch_size': 2}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9812788877301843,0.9621331219442164
0.5411023996198622,"[[1716  344  746]
 [ 552  223 2031]
 [  54  136 2616]]",pan13,0.478165036620936,0.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9787163078116567,0.924598894077978
0.5526501766784452,"[[1679  914  237]
 [ 539 1526  765]
 [  27 1316 1487]]",pan13,0.5614032532912727,1.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 410, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9501572023045124,0.8914313439880057
0.4952651515151515,"[[1914  566  336]
 [1100  814  902]
 [ 752  608 1456]]",pan13,0.4829880183520426,2.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0215648661408874,0.9884430140220491
0.5248799906334153,"[[1555  404  888]
 [ 533  220 2094]
 [  23  116 2708]]",pan13,0.4614497132562017,3.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 407, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9519104080733344,0.8691420172269527
0.5485592315901814,"[[1527  664  620]
 [ 556 1156 1099]
 [ 188  680 1943]]",pan13,0.5455357660202308,4.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 67938, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.957915886389516,0.9146570502465354
